sentence,pattern,lang_type,pos_sequence,sequence_length,error
尤其 係 一啲 你 喜歡 嘅 回憶 喺 呢個 城市 裏面 年曆 嚟 呢 你 長大 咗 你哋 喺 呢度 長大 嘅 住 噉 係 噉 係 香港人 囉,C29,Cantonese,ADV VERB NUM PRON VERB PART NOUN ADP PRON NOUN ADV NOUN NOUN PART PRON ADJ PART PRON ADP PRON ADJ PART PART CCONJ VERB PRON VERB PROPN VERB,29,False
尤其 係 一啲 你 喜歡 嘅 回憶 喺 呢個 城市 裏面 年曆 嚟 呢 你 長大 咗 你哋 喺 呢度 長大 嘅 住 噉 係 噉 係 香港人 囉,C29,Cantonese,ADV VERB NUM PRON VERB PART NOUN ADP PRON NOUN ADV NOUN NOUN PART PRON ADJ PART PRON ADP PRON ADJ PART PART CCONJ VERB PRON VERB PROPN VERB,29,False
尤其 係 一啲 你 喜歡 嘅 回憶 喺 呢個 城市 裏面 年曆 嚟 呢 你 長大 咗 你哋 喺 呢度 長大 嘅 住 噉 係 噉 係 香港人 囉,C29,Cantonese,ADV VERB NUM PRON VERB PART NOUN ADP PRON NOUN ADV NOUN NOUN PART PRON ADJ PART PRON ADP PRON ADJ PART PART CCONJ VERB PRON VERB PROPN VERB,29,False
中國人 呢 係 如果 你 係 如果 真 中國人 嘅話 我 覺得 喺,C13,Cantonese,NOUN PART VERB CCONJ PRON VERB CCONJ ADJ NOUN PART PRON VERB ADP,13,False
你 即係 一個中國 人 應該 喺 內地 嗰度 生活 咗 都 係 真係 好 係 好 嘅 回憶 都 係 要 喜歡 嘅 我 覺得,C25,Cantonese,PRON CCONJ PROPN NOUN AUX ADP ADV PRON VERB PART ADV VERB ADV ADV VERB ADJ PART NOUN ADV VERB AUX VERB PART PRON VERB,25,False
你 即係 一個中國 人 應該 喺 內地 嗰度 生活 咗 都 係 真係 好 係 好 嘅 回憶 都 係 要 喜歡 嘅 我 覺得 喺 中國 裏面 唔,C29,Cantonese,PRON CCONJ PROPN NOUN AUX ADP ADV PRON VERB PART ADV VERB ADV ADV VERB ADJ PART NOUN ADV VERB AUX VERB PART PRON VERB ADP PROPN ADV ADV,29,False
同埋 即 佢 亦 即 嗰個 文化 係 令到 佢哋 長大 係 即 要 的 但係 係 一定 係 我 會 覺得 係 除咗,C24,Cantonese,CCONJ CCONJ PRON VERB CCONJ PRON NOUN VERB VERB PRON ADJ VERB CCONJ AUX VERB CCONJ VERB ADV VERB PRON AUX VERB VERB ADP,24,False
澳門 香港 同埋 咪 澳門 香港 同埋 係 啦 即 澳門 同 香港 除咗 呢度 之外 你 要 喺,C19,Cantonese,PROPN PROPN CCONJ ADV PROPN PROPN CCONJ VERB NOUN CCONJ PROPN ADP PROPN ADP PART ADV PRON VERB ADP,19,False
I'm trying to find like a historical point in time everything that wasn't colonized by Western people,E17,English,PRON AUX VERB PART VERB ADP DET ADJ NOUN ADP NOUN PRON PRON AUX PART VERB ADP ADJ NOUN,19,False
But also but I also have but I also don't think Xinjiang people might necessarily like not all Xinjiang Uyghurs are Chinese Like I think that's so wrong to say,E30,English,CCONJ ADV CCONJ PRON ADV VERB CCONJ PRON ADV AUX PART VERB PROPN NOUN AUX ADV VERB PART DET PROPN PROPN AUX ADJ SCONJ PRON VERB PRON AUX ADV ADJ PART VERB,32,False
But also but I also have but I also don't think Xinjiang people might necessarily like not all Xinjiang Uyghurs are Chinese Like I think that's so wrong to say,E30,English,CCONJ ADV CCONJ PRON ADV VERB CCONJ PRON ADV AUX PART VERB PROPN NOUN AUX ADV VERB PART DET PROPN PROPN AUX ADJ SCONJ PRON VERB PRON AUX ADV ADJ PART VERB,32,False
But also but I also have but I also don't think Xinjiang people might necessarily like not all Xinjiang Uyghurs are Chinese Like I think that's so wrong to say Like I think that's so wrong to say,E38,English,CCONJ ADV CCONJ PRON ADV VERB CCONJ PRON ADV AUX PART VERB PROPN NOUN AUX ADV VERB PART DET PROPN PROPN AUX ADJ SCONJ PRON VERB PRON AUX ADV ADJ PART VERB INTJ PRON VERB PRON AUX ADV ADJ PART VERB,41,False
So it has to be from yourself like it has to be an authentic relationship,E15,English,ADV PRON VERB PART AUX ADP PRON SCONJ PRON VERB PART AUX DET ADJ NOUN,15,False
So it has to be from yourself like it has to be an authentic relationship,E15,English,ADV PRON VERB PART AUX ADP PRON SCONJ PRON VERB PART AUX DET ADJ NOUN,15,False
That That relationship relationship has has to to do do with with,E12,English,SCONJ DET NOUN NOUN AUX VERB PART PART AUX VERB ADP ADP,12,False
I like how you you you you display all this architecture because I actually feel like it's so much to do with the relationship with like with the place and what happened in the place,E35,English,PRON VERB SCONJ PRON PRON PRON PRON VERB DET DET NOUN SCONJ PRON ADV VERB SCONJ PRON AUX ADV ADJ PART VERB ADP DET NOUN ADP INTJ ADP DET NOUN CCONJ PRON VERB ADP DET NOUN,36,False
I like how you you you you display all this architecture because I actually feel like it's so much to do with the relationship with like with the place and what happened in the place,E35,English,PRON VERB SCONJ PRON PRON PRON PRON VERB DET DET NOUN SCONJ PRON ADV VERB SCONJ PRON AUX ADV ADJ PART VERB ADP DET NOUN ADP INTJ ADP DET NOUN CCONJ PRON VERB ADP DET NOUN,36,False
I like how you you you you display all this architecture because I actually feel like it's so much to do with the relationship with like with the place and what happened in the place,E35,English,PRON VERB SCONJ PRON PRON PRON PRON VERB DET DET NOUN SCONJ PRON ADV VERB SCONJ PRON AUX ADV ADJ PART VERB ADP DET NOUN ADP INTJ ADP DET NOUN CCONJ PRON VERB ADP DET NOUN,36,False
What what like really important things must have happened I think,E11,English,PRON PRON VERB ADV ADJ NOUN AUX AUX VERB PRON VERB,11,False
But But I'm I'm sorry sorry I'm I'm being being vague vague,E12,English,CCONJ CCONJ PRON AUX PRON AUX ADJ ADJ PRON AUX PRON AUX AUX AUX ADJ NOUN,16,False
A very important life life milestones have to have taken place in a,E13,English,DET ADV ADJ NOUN NOUN NOUN VERB PART AUX VERB NOUN ADP PRON,13,False
A very important life life milestones have to have taken place in a,E13,English,DET ADV ADJ NOUN NOUN NOUN VERB PART AUX VERB NOUN ADP PRON,13,False
Must have taken place here and there,E7,English,AUX AUX VERB NOUN ADV CCONJ ADV,7,False
They're very important and and you accept it as part of who you are,E14,English,PRON AUX ADV ADJ CCONJ CCONJ PRON VERB PRON ADP NOUN ADP PRON PRON AUX,15,False
They're very important and and you accept it as part of who you are,E14,English,PRON AUX ADV ADJ CCONJ CCONJ PRON VERB PRON ADP NOUN ADP PRON PRON AUX,15,False
And I think that's and that's a very subjective thing you choose you choose to like that and you choose to let that define you,E25,English,CCONJ PRON VERB PRON AUX CCONJ PRON AUX DET ADV ADJ NOUN PRON VERB PRON VERB PART VERB PRON CCONJ PRON VERB PART VERB PRON VERB PRON,27,False
And I think that's and that's a very subjective thing you choose you choose to like that and you choose to let that define you But But for for example example I I think think for for Uyghurs weekers like like I I don't don't think think that's that's their their choice choice,E53,English,CCONJ PRON VERB PRON AUX CCONJ PRON AUX DET ADV ADJ NOUN PRON VERB PRON VERB PART VERB PRON CCONJ PRON VERB PART VERB PRON VERB PRON CCONJ CCONJ ADP ADP NOUN NOUN PRON PRON VERB VERB ADP ADP PROPN VERB INTJ INTJ PRON PRON AUX PART AUX PART VERB VERB PRON AUX PRON AUX PRON PRON NOUN NOUN,59,False
And I think that's and that's a very subjective thing you choose you choose to like that and you choose to let that define you But But for for example example I I think think for for Uyghurs weekers like like I I don't don't think think that's that's their their choice choice And so I don't think that they that they could say,E64,English,CCONJ PRON VERB PRON AUX CCONJ PRON AUX DET ADV ADJ NOUN PRON VERB PRON VERB PART VERB PRON CCONJ PRON VERB PART VERB PRON VERB PRON CCONJ CCONJ ADP ADP NOUN NOUN PRON PRON VERB VERB ADP ADP PROPN VERB INTJ INTJ PRON PRON AUX PART AUX PART VERB VERB PRON AUX PRON AUX PRON PRON NOUN NOUN CCONJ ADV PRON AUX PART VERB SCONJ PRON SCONJ PRON AUX VERB,71,False
But But for for example example I I think think for for Uyghurs weekers like like I I don't don't think think that's that's their their choice choice And so I don't think that they that they could say,E39,English,CCONJ CCONJ ADP ADP NOUN NOUN PRON PRON VERB VERB ADP ADP PROPN VERB INTJ INTJ PRON PRON AUX PART AUX PART VERB VERB PRON AUX PRON AUX PRON PRON NOUN NOUN CCONJ ADV PRON AUX PART VERB SCONJ PRON SCONJ PRON AUX VERB,44,False
And so I don't think that they 即係 that 一個 they 真正 嘅 could 中國人 say 唔係 一定 係 即係 講 即係 Uyghurs 囉,E7-C1-E1-C1-E1-C2-E1-C1-E1-C6-E1-C1,Code-switched,CCONJ ADV PRON AUX PART VERB SCONJ PRON CCONJ SCONJ PRON PRON ADJ PART AUX NOUN VERB VERB ADV VERB CCONJ VERB CCONJ NOUN X,25,False
類似 嘅 concept,C2-E1,Code-switched,ADJ PART NOUN,3,False
一個 sorry sorry wait say that one more time,C1-E8,Code-switched,PRON INTJ INTJ VERB VERB SCONJ NUM ADJ NOUN,9,False
sorry sorry wait say that one more time 個 爸媽 個個 個 家庭 事 係 點 呀,E8-C9,Code-switched,INTJ INTJ VERB VERB SCONJ NUM ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB PRON PART,17,False
個 爸媽 個個 個 家庭 事 係 點 呀,C9,Cantonese,NOUN NOUN NOUN NOUN NOUN NOUN VERB PRON PART,9,False
阿媽 阿嫲 同 同 阿爸 阿爸,C6,Cantonese,NOUN NOUN ADP ADP NOUN NOUN,6,False
哦 所有 嘢 都 唔係,C5,Cantonese,INTJ ADJ NOUN ADV VERB,5,False
因為 我 唔知 道 佢 因為 因為 我 啲 朋友 呢,C11,Cantonese,CCONJ PRON ADV VERB PRON CCONJ CCONJ PRON NOUN NOUN PART,11,False
可能 佢哋 爸爸 都 係 香港人 嚟 嘅 兩 個 都 係 但係 佢 出生 嘅 時候 佢 佢 喺 呢個 世界 生活 嘅 時候 佢 可能 真係 唔同 埋 香港 既 城市 唔 認同 即 嗰 文化 同埋 真係 唔 想 噉 佢 反而 可能 呢 會 自己 選擇 呢 就 會 去 移民 去 中國 呀 或者 佢 佢 覺得 自己 係 中國人 或者 好似 你 移民 去 美國 覺得 自己 係 美國人 唔 可能 所以 覺得 就係 係唔係 囉,C82,Cantonese,AUX PRON NOUN ADV VERB PROPN VERB PART NUM NOUN ADV VERB CCONJ PRON VERB PART NOUN PRON PRON ADP PRON NOUN VERB PART NOUN PRON AUX ADV ADJ PART PROPN NOUN NOUN ADV VERB CCONJ PRON NOUN CCONJ ADV ADV AUX CCONJ PRON ADV AUX PART AUX PRON VERB PART ADV AUX VERB VERB VERB PROPN PART CCONJ PRON PRON VERB PRON VERB NOUN CCONJ VERB PRON VERB VERB PROPN VERB PRON VERB NOUN ADV AUX CCONJ VERB ADV VERB NOUN,82,False
可能 佢哋 爸爸 都 係 香港人 嚟 嘅 兩 個 都 係 但係 佢 出生 嘅 時候 佢 佢 喺 呢個 世界 生活 嘅 時候 佢 可能 真係 唔同 埋 香港 既 城市 唔 認同 即 嗰 文化 同埋 真係 唔 想 噉 佢 反而 可能 呢 會 自己 選擇 呢 就 會 去 移民 去 中國 呀 或者 佢 佢 覺得 自己 係 中國人 或者 好似 你 移民 去 美國 覺得 自己 係 美國人 唔 可能 所以 覺得 就係 係唔係 囉,C82,Cantonese,AUX PRON NOUN ADV VERB PROPN VERB PART NUM NOUN ADV VERB CCONJ PRON VERB PART NOUN PRON PRON ADP PRON NOUN VERB PART NOUN PRON AUX ADV ADJ PART PROPN NOUN NOUN ADV VERB CCONJ PRON NOUN CCONJ ADV ADV AUX CCONJ PRON ADV AUX PART AUX PRON VERB PART ADV AUX VERB VERB VERB PROPN PART CCONJ PRON PRON VERB PRON VERB NOUN CCONJ VERB PRON VERB VERB PROPN VERB PRON VERB NOUN ADV AUX CCONJ VERB ADV VERB NOUN,82,False
可能 佢哋 爸爸 都 係 香港人 嚟 嘅 兩 個 都 係 但係 佢 出生 嘅 時候 佢 佢 喺 呢個 世界 生活 嘅 時候 佢 可能 真係 唔同 埋 香港 既 城市 唔 認同 即 嗰 文化 同埋 真係 唔 想 噉 佢 反而 可能 呢 會 自己 選擇 呢 就 會 去 移民 去 中國 呀 或者 佢 佢 覺得 自己 係 中國人 或者 好似 你 移民 去 美國 覺得 自己 係 美國人 唔 可能 所以 覺得 就係 係唔係 囉,C82,Cantonese,AUX PRON NOUN ADV VERB PROPN VERB PART NUM NOUN ADV VERB CCONJ PRON VERB PART NOUN PRON PRON ADP PRON NOUN VERB PART NOUN PRON AUX ADV ADJ PART PROPN NOUN NOUN ADV VERB CCONJ PRON NOUN CCONJ ADV ADV AUX CCONJ PRON ADV AUX PART AUX PRON VERB PART ADV AUX VERB VERB VERB PROPN PART CCONJ PRON PRON VERB PRON VERB NOUN CCONJ VERB PRON VERB VERB PROPN VERB PRON VERB NOUN ADV AUX CCONJ VERB ADV VERB NOUN,82,False
所以 所以 完全 完全 兩 兩 個 個 都 唔係 都 就係 唔係 呀,C14,Cantonese,CCONJ CCONJ ADV ADV NUM NUM NOUN NOUN ADV VERB ADV ADV VERB PART,14,False
French French,E2,English,ADJ PROPN,2,False
Little bit of Japanese so,E5,English,ADJ NOUN ADP PROPN ADV,5,False
And then I know how to read Korean Hangul,E9,English,CCONJ ADV PRON VERB SCONJ PART VERB PROPN PROPN,9,False
I do,E2,English,PRON VERB,2,False
That was the main language that I was taught in so I speak I actually almost speak Mandarin better than my Canto,E22,English,PRON AUX DET ADJ NOUN PRON PRON AUX VERB ADP ADV PRON VERB PRON ADV ADV VERB PROPN ADV ADP PRON PROPN,22,False
I'm sad that I don't,E5,English,PRON AUX ADJ SCONJ PRON AUX PART,7,False
Yes So I often go to Japan for vacation So I often whenever I just go to Japan I I use the language and I'm I'm like half a translator I'm not really like but I help to um if there's some I can get by with like very basic Japanese so I can ask for directions to help my family,E61,English,INTJ ADV PRON ADV VERB ADP PROPN ADP NOUN ADV PRON ADV SCONJ PRON ADV VERB ADP PROPN PRON PRON VERB DET NOUN CCONJ PRON AUX PRON AUX INTJ DET DET NOUN PRON AUX PART ADV INTJ CCONJ PRON VERB PART INTJ SCONJ PRON VERB PRON PRON AUX VERB ADP ADP INTJ ADV ADJ ADJ SCONJ PRON AUX VERB ADP NOUN PART VERB PRON NOUN,65,False
Korean I don't speak to anyone it's just my obession with K pop when I was younger uh and K dramas,E21,English,ADJ PRON AUX PART VERB ADP PRON PRON AUX ADV PRON NOUN ADP PROPN NOUN SCONJ PRON AUX ADJ INTJ CCONJ NOUN NOUN,23,False
Korean I don't speak to anyone it's just my obession with K pop when I was younger uh and K dramas,E21,English,ADJ PRON AUX PART VERB ADP PRON PRON AUX ADV PRON NOUN ADP PROPN NOUN SCONJ PRON AUX ADJ INTJ CCONJ NOUN NOUN,23,False
And then French I really don't have anyone to speak to unfortunately,E12,English,CCONJ ADV PROPN PRON ADV AUX PART VERB PRON PART VERB ADP ADV,13,False
And then French I really don't have anyone to speak to unfortunately I learned just because it was I went to a Canadian international school and it was mandatory,E29,English,CCONJ ADV PROPN PRON ADV AUX PART VERB PRON PART VERB ADP ADV PRON VERB ADV SCONJ PRON AUX PRON VERB ADP DET ADJ ADJ NOUN CCONJ PRON AUX ADJ,30,False
Mandarin Mandarin,E2,English,PROPN PROPN,2,False
Um was is I have to speak it at my workplace,E11,English,INTJ AUX AUX PRON VERB PART VERB PRON ADP PRON NOUN,11,False
Um was is I have to speak it at my workplace,E11,English,INTJ AUX AUX PRON VERB PART VERB PRON ADP PRON NOUN,11,False
UST UST has has a a lot lot of of mainland mainland students students,E14,English,PROPN PROPN AUX VERB DET DET NOUN NOUN ADP ADP NOUN NOUN NOUN NOUN,14,False
There's a lot of Mainland students,E6,English,PRON VERB DET NOUN ADP PROPN NOUN,7,False
So actually I've been using it quite frequently So every week I would I would definitely speak one or two sentences or even here or even you know converse So yeah,E31,English,ADV ADV PRON AUX AUX VERB PRON ADV ADV ADV DET NOUN PRON AUX PRON AUX ADV VERB NUM CCONJ NUM NOUN CCONJ ADV ADV CCONJ ADV PRON VERB NOUN ADV INTJ,32,False
And then Cantonese use every day every day to talk to my family to my to my partner to my to my colleagues to the students,E26,English,CCONJ ADV ADJ VERB DET NOUN DET NOUN PART VERB ADP PRON NOUN ADP PRON ADP PRON NOUN ADP PRON ADP PRON NOUN ADP DET NOUN,26,False
Everyone basically,E2,English,PRON ADV,2,False
English is also at the workplace So right now at UST that's the primary um language that we use for email communications Um and I have to slip English in there because and like I try to use Cantonese with my colleagues but inevitably because they are mostly local so,E50,English,PROPN AUX ADV ADP DET NOUN ADV ADV ADV ADP PROPN PRON AUX DET ADJ INTJ NOUN PRON PRON VERB ADP NOUN NOUN INTJ CCONJ PRON VERB PART VERB PROPN ADV ADV SCONJ CCONJ INTJ PRON VERB PART VERB PROPN ADP PRON NOUN CCONJ ADV SCONJ PRON AUX ADV ADJ ADV,51,False
Um and I have to slip English in there because and like I try to use Cantonese with my colleagues but inevitably because they are mostly local so,E28,English,INTJ CCONJ PRON VERB PART VERB PROPN ADV ADV SCONJ CCONJ INTJ PRON VERB PART VERB PROPN ADP PRON NOUN CCONJ ADV SCONJ PRON AUX ADV ADJ ADV,28,False
They're local They're mostly local Hong Kongers,E7,English,PRON AUX ADJ PRON AUX ADV ADJ PROPN PROPN,9,False
So they don't um,E4,English,ADV PRON AUX PART INTJ,5,False
So I have to use Cantonese a lot but then because I I think even in the test I was like struggling to explain a lot of things without and I'm actually much smoother with my English,E37,English,ADV PRON VERB PART VERB PROPN DET NOUN CCONJ ADV SCONJ PRON PRON VERB ADV ADP DET NOUN PRON AUX ADP VERB PART VERB DET NOUN ADP NOUN ADP CCONJ PRON AUX ADV ADV ADJ ADP PRON PROPN,38,False
So I have to use Cantonese a lot but then because I I think even in the test I was like struggling to explain a lot of things without and I'm actually much smoother with my English And my thought processes are all in English and so I use a lot of English mixed with Cantonese in my workplace for sure,E61,English,ADV PRON VERB PART VERB PROPN DET NOUN CCONJ ADV SCONJ PRON PRON VERB ADV ADP DET NOUN PRON AUX ADP VERB PART VERB DET NOUN ADP NOUN ADP CCONJ PRON AUX ADV ADV ADJ ADP PRON PROPN CCONJ PRON NOUN NOUN AUX PRON ADP PROPN CCONJ ADV PRON VERB DET NOUN ADP PROPN VERB ADP PROPN ADP PRON NOUN ADP ADJ,62,False
My friends but mainly English is my like my close friends at church and,E14,English,PRON NOUN CCONJ ADV PROPN AUX PRON ADP PRON ADJ NOUN ADP NOUN CCONJ,14,False
They speak,E2,English,PRON VERB,2,False
My parents speak English and Cantonese,E6,English,PRON NOUN VERB PROPN CCONJ PROPN,6,False
My parents speak English and Cantonese But sometimes what happens is they speak Cantonese to me and I speak English back,E21,English,PRON NOUN VERB PROPN CCONJ PROPN CCONJ ADV PRON VERB AUX PRON VERB PROPN ADP PRON CCONJ PRON VERB PROPN ADV,21,False
My parents speak English and Cantonese But sometimes what happens is they speak Cantonese to me and I speak English back,E21,English,PRON NOUN VERB PROPN CCONJ PROPN CCONJ ADV PRON VERB AUX PRON VERB PROPN ADP PRON CCONJ PRON VERB PROPN ADV,21,False
No Mandarin,E2,English,DET PROPN,2,False
Because Because that's That's because because one one thing thing I I really really regret regret when when I I was was growing growing up up was was not not being being able able to to express express my my emotions emotions in in Cantonese Cantonese I felt a lot of alienation from my grandparents from my mother from my father because I couldn't speak the language that was most native to them,E73,English,SCONJ SCONJ PRON AUX PRON AUX SCONJ SCONJ NUM NUM NOUN NOUN PRON PRON ADV ADV VERB NOUN SCONJ SCONJ PRON PRON AUX AUX VERB VERB ADP ADP AUX AUX PART PART AUX AUX ADJ ADJ PART PART VERB VERB PRON PRON NOUN NOUN ADP ADP PROPN PROPN PRON VERB DET NOUN ADP NOUN ADP PRON NOUN ADP PRON NOUN ADP PRON NOUN SCONJ PRON AUX PART VERB DET NOUN PRON AUX ADV ADJ ADP PRON,76,False
Because Because that's That's because because one one thing thing I I really really regret regret when when I I was was growing growing up up was was not not being being able able to to express express my my emotions emotions in in Cantonese Cantonese I felt a lot of alienation from my grandparents from my mother from my father because I couldn't speak the language that was most native to them So a lot of complex emotional experiences I was having I couldn't share with an older generation and who took care of me,E96,English,SCONJ SCONJ PRON AUX PRON AUX SCONJ SCONJ NUM NUM NOUN NOUN PRON PRON ADV ADV VERB NOUN SCONJ SCONJ PRON PRON AUX AUX VERB VERB ADP ADP AUX AUX PART PART AUX AUX ADJ ADJ PART PART VERB VERB PRON PRON NOUN NOUN ADP ADP PROPN PROPN PRON VERB DET NOUN ADP NOUN ADP PRON NOUN ADP PRON NOUN ADP PRON NOUN SCONJ PRON AUX PART VERB DET NOUN PRON AUX ADV ADJ ADP PRON ADV DET NOUN ADP ADJ ADJ NOUN PRON AUX VERB PRON AUX PART VERB ADP DET ADJ NOUN CCONJ PRON VERB NOUN ADP PRON,100,False
I felt a lot of alienation from my grandparents from my mother from my father because I couldn't speak the language that was most native to them So a lot of complex emotional experiences I was having I couldn't share with an older generation and who took care of me They were actually the ones like my grandmother especially was the one who took care of me But even though she put all of this care in she I couldn't talk to her about a lot of things,E88,English,PRON VERB DET NOUN ADP NOUN ADP PRON NOUN ADP PRON NOUN ADP PRON NOUN SCONJ PRON AUX PART VERB DET NOUN PRON AUX ADV ADJ ADP PRON ADV DET NOUN ADP ADJ ADJ NOUN PRON AUX VERB PRON AUX PART VERB ADP DET ADJ NOUN CCONJ PRON VERB NOUN ADP PRON PRON AUX ADV DET NOUN ADP PRON NOUN ADV AUX DET NUM PRON VERB NOUN ADP PRON CCONJ ADV SCONJ PRON VERB PRON ADP DET NOUN ADP PRON PRON AUX PART VERB ADP PRON ADP DET NOUN ADP NOUN,91,False
So I regretted it,E4,English,ADV PRON VERB PRON,4,False
I tried my best,E4,English,PRON VERB PRON ADJ,4,False
Now I can speak to her on a lot more things but it's after a lot of things have went after I needed her help,E25,English,ADV PRON AUX VERB ADP PRON ADP DET NOUN ADJ NOUN CCONJ PRON AUX SCONJ DET NOUN ADP NOUN AUX VERB SCONJ PRON VERB PRON NOUN,26,False
I feel very it's at home but it's also very jarring because it's um when I when I hear Hong Kong English um it's very I feel a rush of affection,E31,English,PRON VERB ADV PRON AUX ADP NOUN CCONJ PRON AUX ADV ADV ADJ SCONJ PRON AUX INTJ SCONJ PRON SCONJ PRON VERB PROPN PROPN PROPN INTJ PRON AUX ADV PRON VERB DET NOUN ADP NOUN,35,False
And I also feel like but then I also,E9,English,CCONJ PRON ADV VERB ADP CCONJ ADV PRON ADV,9,False
And I also feel like but then I also,E9,English,CCONJ PRON ADV VERB ADP CCONJ ADV PRON ADV,9,False
But then I also feel a little bit I feel a bit angry at the education system for not teaching things like phonetics and and and a lot of the verbal stuff like a lot of the verbal communication I wish it was more,E44,English,CCONJ ADV PRON ADV VERB DET ADJ NOUN PRON VERB DET NOUN ADJ ADP DET NOUN NOUN ADP PART VERB NOUN ADP NOUN CCONJ CCONJ CCONJ DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN PRON VERB PRON AUX ADV,44,False
But then I also feel a little bit I feel a bit angry at the education system for not teaching things like phonetics and and and a lot of the verbal stuff like a lot of the verbal communication I wish it was more,E44,English,CCONJ ADV PRON ADV VERB DET ADJ NOUN PRON VERB DET NOUN ADJ ADP DET NOUN NOUN ADP PART VERB NOUN ADP NOUN CCONJ CCONJ CCONJ DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN PRON VERB PRON AUX ADV,44,False
But then I also feel a little bit I feel a bit angry at the education system for not teaching things like phonetics and and and a lot of the verbal stuff like a lot of the verbal communication I wish it was more,E44,English,CCONJ ADV PRON ADV VERB DET ADJ NOUN PRON VERB DET NOUN ADJ ADP DET NOUN NOUN ADP PART VERB NOUN ADP NOUN CCONJ CCONJ CCONJ DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN PRON VERB PRON AUX ADV,44,False
But then I also feel a little bit I feel a bit angry at the education system for not teaching things like phonetics and and and a lot of the verbal stuff like a lot of the verbal communication I wish it was more,E44,English,CCONJ ADV PRON ADV VERB DET ADJ NOUN PRON VERB DET NOUN ADJ ADP DET NOUN NOUN ADP PART VERB NOUN ADP NOUN CCONJ CCONJ CCONJ DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN PRON VERB PRON AUX ADV,44,False
It was taught in a way that was in the DSE,E11,English,PRON AUX VERB ADP DET NOUN PRON AUX ADP DET PROPN,11,False
Like it just I just noticed that the DSE curriculum really didn't teach how to how to how to be authentic in your English,E24,English,ADP PRON ADV PRON ADV VERB SCONJ DET PROPN NOUN ADV AUX PART VERB SCONJ PART SCONJ PART SCONJ PART AUX ADJ ADP PRON PROPN,25,False
Like it just I just noticed that the DSE curriculum really didn't teach how to how to how to be authentic in your English,E24,English,ADP PRON ADV PRON ADV VERB SCONJ DET PROPN NOUN ADV AUX PART VERB SCONJ PART SCONJ PART SCONJ PART AUX ADJ ADP PRON PROPN,25,False
Like it just I just noticed that the DSE curriculum really didn't teach how to how to how to be authentic in your English,E24,English,ADP PRON ADV PRON ADV VERB SCONJ DET PROPN NOUN ADV AUX PART VERB SCONJ PART SCONJ PART SCONJ PART AUX ADJ ADP PRON PROPN,25,False
So that's so I feel both like,E7,English,ADV PRON AUX ADV PRON VERB PRON ADP,8,False
It's affectionate because it reminds me of home,E8,English,PRON AUX ADJ SCONJ PRON VERB PRON ADP NOUN,9,False
But then at the same time I'm like it goes because it's so it's so it's so awful for me to see my fellow colleagues for example at UST having to they try to write sentences but they literally sound like a book,E43,English,CCONJ ADV ADP DET ADJ NOUN PRON AUX SCONJ PRON VERB SCONJ PRON AUX ADV PRON AUX ADV PRON AUX ADV ADJ SCONJ PRON PART VERB PRON ADJ NOUN ADP NOUN ADP PROPN VERB PART PRON VERB PART VERB NOUN CCONJ PRON ADV VERB ADP DET NOUN,47,False
But then at the same time I'm like it goes because it's so it's so it's so awful for me to see my fellow colleagues for example at UST having to they try to write sentences but they literally sound like a book They sound like and it sounds it sounds really old fashioned And I'm like I wish you didn't I wish you could just write it naturally and not in a way that's so book bound,E78,English,CCONJ ADV ADP DET ADJ NOUN PRON AUX SCONJ PRON VERB SCONJ PRON AUX ADV PRON AUX ADV PRON AUX ADV ADJ SCONJ PRON PART VERB PRON ADJ NOUN ADP NOUN ADP PROPN VERB PART PRON VERB PART VERB NOUN CCONJ PRON ADV VERB ADP DET NOUN PRON VERB INTJ CCONJ PRON VERB PRON VERB ADV ADJ ADJ CCONJ PRON AUX SCONJ PRON VERB PRON AUX PART PRON VERB PRON AUX ADV VERB PRON ADV CCONJ PART ADP DET NOUN PRON AUX ADV NOUN VERB,85,False
And I'm like I wish you didn't I wish you could just write it naturally and not in a way that's so book bound But yeah that's basically it,E29,English,CCONJ PRON AUX SCONJ PRON VERB PRON AUX PART PRON VERB PRON AUX ADV VERB PRON ADV CCONJ PART ADP DET NOUN PRON AUX ADV NOUN VERB CCONJ INTJ PRON AUX ADV PRON,33,False
Um really fluent um sounds good it sounds good,E9,English,INTJ ADV ADJ INTJ VERB ADJ PRON VERB ADJ,9,False
好聽 囉 這是 好 容易 明 我 講咩 um 同埋 即係 好 容易 明 我 講咩,C8-E1-C7,Code-switched,ADJ ADV VERB ADV ADJ VERB PRON VERB INTJ CCONJ CCONJ ADV ADJ VERB PRON VERB,16,False
Uh 然之後 跟住 但 我 講 的 太快 只不過 我 講 的 好 快 係 嘞,E1-C15,Code-switched,INTJ CCONJ CCONJ CCONJ PRON VERB PART NOUN ADV PRON VERB PART ADV ADJ VERB PART,16,False
但係 係 鬼妹仔 囉,C4,Cantonese,CCONJ VERB NOUN NOUN,4,False
